chr1	1	1111111111111000000000000
chr2	1	1111111111111000000000000
chr3	1	1111111111111000000000000
chr4	1	1111111111111000000000000
chr5	1	1111111111111000000000000
chr6	1	1111111111111000000000000
chr7	1	1111111111111000000000000
chr8	1	1111111111111000000000000
chr9	1	1111111111111000000000000
chr10	1	1111111111111000000000000
chr11	1	1111111111111000000000000
chr12	1	1111111111111000000000000
chr13	1	1111111111111000000000000
chr14	1	1111111111111000000000000
chr15	1	1111111111111000000000000
chr16	1	1111111111111000000000000
chr17	1	1111111111111000000000000
chr18	1	1111111111111000000000000
chr19	1	1111111111111000000000000
chr20	1	1111111111111000000000000
chr21	1	1111111111111000000000000
chr22	1	1111111111111000000000000
chr23	1	1111111111111000000000000
chr24	1	1111111111111000000000000
chr25	1	1111111111111000000000000
